date|rating|product|cleaned_text
2021-07|1.0|Orchid Oil Shampoo|i normally only need to wash my hair every 3 4 days but with this shampoo my hair was greasy after 1 day after about a week of use it caused me to break out in these sore bumps on my scalp i stopped using it and they ve since gone away the consistency is also like jelly and not easy to use worst shampoo i ve used 
2020-08|2.0|Orchid Oil Shampoo|my hair is long thick and dries mostly straight with some wave i do balayage which means a little dryness and damage but overall my hair is pretty healthy this shampoo definitely overstripped my hair which is pretty surprising for something sulfate free goes to show that sulfates aren t the only ingredients that matter in a shampoo formula the smell is ok not my favorite it does linger which is great if you like it left my hair feeling really tangled dry and stiff even after using the matching conditioner which wasn t much better pros affordable lathers well cons too drying doesn t smell that great weird jelly like texture that is hard to squeeze out of the bottle definitely would not use again 
2019-08|4.0|Orchid Oil Shampoo| lathers easily nice smell good for oily hair
2018-08|5.0|Orchid Oil Shampoo|i rarely have good results with using drug store shampoos and conditioners on my fine highlighted humidity sensitive hair a friend raved about this and i saw it at the drugstore buy one 2nd one 50percent off so both shampoo and conditioner together were 12 worth taking a risk it left my hair smooth soft and shiny plus smelling fabulous i will probably alternate with another product but for now it will be a staple in my shower 
2018-08|1.0|Orchid Oil Shampoo|has a light orchid scent this shampoo left my fine dry hair feeling stripped and squeaky clean 
2021-06|4.0|Smoothing + Shea Sleek Humidity-Blocking Hairspray|if i were to rate this on being a hairspray used to keep my hair in place it would be a 1 5 stars but i m rating this as a hair texturizer and giving it 4 5 stars used this on vacation in puerto rico and initially wasn t sure if it s the mix of beach water and this spray but i had amazing hair texture that have my normally flat sleek hair body and a bit of wave i still use it and can confirm that this still provides grippy texture which the quot anti humidity quot formula helps with doesn t make your hair crunchy or immovable still keeps things soft and flexible even when doused generously over the hair but don t go too crazy 
2021-05|3.0|Charcoal Detox Conditioner|i tried this in conjunction with the matching charcoal shampoo they both smell nice which is great for in the shower after using the shampoo i definitely felt that i needed deep moisture as all shampoos do this seems to have a rich texture but after i rinsed and towel dried my hair my hair felt really stripped i think it s too much for my hair which is very thick and wavy curly i m using up my bottles by sharing with my roommate and occasionally i may use these products if i feel like i need a deep cleanse 
2019-08|4.0|Charcoal Detox Conditioner|i loved the charcoal detox shampoo and used alone initially to see how well it worked i then added in the conditioner to my routine i really like them both the conditioner has that same men s body wash fragrance which might be a deal breaker for some personally i didn t mind as the product itself delivers and i can always use a fragranced hair mist to disguise my masculine smelling hair this conditioner seems to work better when i don t use a generous amount i find a smaller amount of product seems to work better for my hair and leave it less oilier i apply this to the lengths and ends and let it sit for around 5 minutes whilst i get on with my shower results lovely soft hair which although not in the silicone way of feeling soft is more of a natural softness that just feels healthy i wasn t sure if the charcoal in here would interfere with my hair color luckily it doesn t strip or fade the dye if you re oily or looking for a conditioner with decent slip that rinses out easily this is well worth a try selena x my hg list as i ve sampled 100s of skin hair and m u products over the last decade and a half i thought it might be useful to share my top 10 must have products subject to change if and when i come across something more effective i love constantly trying out new stuff usually sample sizes via e bay also plenty courtesy of a friend who works at sephora 1 hair loss treatment divine herbal hair oil 2 lip balm nuxe reve de miel lip balm 3 pigmentation anti ageing treatment divine herbal facial treatment serum 4 cleanser paula s choice skin balancing cleanser 5 concealer mac studio finish concealer 6 lash growth serum divine herbal divinelash 7 foundation spf juice beauty stem cellular repair warm glow 8 face scrub sisley botanical gentle buffing cream 9 moisturizer lush enzymion 10 hand cream origins make a difference rejuvenating hand treatment
2021-04|4.0|Renewing Argan Oil Morocco Shampoo|i m surprised at all the low reviews for this shampoo i really like it i have very boring hair though so i m not looking for any specific results from my shampoo i just need something that cleans well and smells nice and this fits the bill perfectly it foams up nicely rinses clean and i have no issues with it the bottle also lasts a good long while especially if you have short hair like me it s a really basic shampoo but that s what i like about it no frills the packaging is on the bulky side but eh i can live with that i think ogx as a brand is a little pricey for the drugstore but i would purchase this product again and i d like to explore some more shampoos from ogx too 
2021-02|1.0|Renewing Argan Oil Morocco Shampoo|picked this up at the supermarket and my mother told me to put it back as it gave her horrible greasy hair when she used this shampoo back in the day i wanted to try the product myself so i purchased the product made my hair feel so thick and greasy and not exactly the effect you d expect from a moroccan argan oil shampoo my roots especially felt very greasy and this happened every single time i used the shampoo never purchasing again and not bothered to try any more ogx products 
2019-08|4.0|Renewing Argan Oil Morocco Shampoo|i enjoy using this shampoo for many reasons it doesn t dry out my hair i have the option to wear my hair wavy without frizz or straight without frizz my ends feel nice not super soft but definitely not dry it s not that expensive amp it s almost always on sale the bigger bottle comes with a pump which is very helpful my scalp is usually very oily most shampoos just make the oil problem worse this does not it s also sold at almost every major store you can even find it at your local grocery store which is also helpful if you run out it doesn t cause me any back acne the scent doesn t bother my allergies where most shampoos do so it s great for those many reasons overall i would rate this shampoo a 4 5 i wouldn t recommend this for someone with dry hair because overtime your hair will dry out even more but normal to oily hair this a great affordable option 
2019-08|2.0|Renewing Argan Oil Morocco Shampoo|the product smells ok but from the first time i used it my scalp itched and burned it just got worse with each use i had to throw it out after using it 3 times
2018-08|4.0|Renewing Argan Oil Morocco Shampoo|i wanted to try a shampoo that didn t have sulfates in it but was also reasonably priced and i have also liked some ogx products that i ve tried in the past so i picked this the lather of it is iffy but i think this shampoo cleanses my hair without stripping it too much i think i would buy it again but i ll continue to try other shampoos 
2018-08|5.0|Renewing Argan Oil Morocco Shampoo|i only tried this range of hair products for the first time this year and have to say it agrees with my hair my hair is quite dry and many shampoos and leave it feeling even more dry this shampoo smells quite nice i was initially disappointed to find that the lather texture wasn t that great i felt as though i was washing my hair with a conditioner however despite this whenever i use it i find my hair after washing feels lovely and always has a good healthy sheen i have not used another shampoo since 
2018-08|2.0|Renewing Argan Oil Morocco Shampoo|this shampoo smells great and left my hair silky and shiny but also caused a terrible allergic reaction i have sensitive skin and immediately felt a burning sensation when i used this shampoo and conditioner i washed them off quickly but still my lips and face swelled up and i had chapped lips and angry red eczema on my neck hands scalp and face for days i would advise that you stay away from this range if you have sensitive skin 
2018-08|5.0|Renewing Argan Oil Morocco Shampoo|my shampoo bottle busted in my suitcase on the road i bought a 3 ounce travel size for 2 50 at walgreens if you buy the full size at 7 for almost 20 ounces that s not a bad price my hair is recovering from some abuse and gets frizzy and dry it has also thinned out recently and has lost a lot of it s luster i need a good moisturizing shampoo that doesn t weigh my hair down or strip it and can remove build up it also needs to smell clean and elegant not like a clown threw up vanilla ice cream on my head this did the job i got many unusual complements on how shiny and soft my hair was the smell is a tad bit sweet but has a musk to it that makes it nice the fragrance didn t last past the next morning it wasn t as moisturizing as my current shampoo but it gave enough i had a little bit of trouble getting a lather but that could of been the water in the area the cap kept leaking after it was closed travelers hate leaking caps or it s just my curse of leaking shampoo overall i ve had the same result with other drugstore shampoos and i don t regret it i might buy a full size if i want to switch up one day 
2018-08|1.0|Renewing Argan Oil Morocco Shampoo|the australian market versions of ogx are like washing your hair in in dish detergent the conditioners are just as bad 
2018-08|4.0|Renewing Argan Oil Morocco Shampoo|hi this is my first review anyways i just washed my hair with the shampoo amp conditioner and i ve got some results my hair is very very thin and gets usually damaged pretty fast anyways i rinsed my hair with water and then i started to use the shampoo i leaved the shampoo in the hair for 2 3 minutes and i rinsed it out with warm water and did the same thing again after the secound wash i actually realized that my hair got sooo soft i rinsed the shampoo out of my hair and started with the conditioner i leaved the conditioner in my hair for 5 minutes and rinsed it also out my hair got softer and also shinier than usually after when my got a little bit more dry i brushed it and i saw wow my hair is super shiny and so soft the smell of the two products are very nice my skin did react to it good like it didn t hurt or something so i recommend this product 
2017-08|4.0|Renewing Argan Oil Morocco Shampoo|this brand used to be my go to for sulfate free shampoos and conditioners in the drugstore once i colored my hair it needed a little more tlc but if you have healthy hair this is a great suflate free option it also lathers like regular shampoo which is nice sulfate free has come a long way 
2017-08|3.0|Renewing Argan Oil Morocco Shampoo|i used this product twise it couldnot control the frizz but my hair fall became less my hair a silky and soft and it remained like it was but the smell would vanish i do nt know if to use it again or not
2016-08|2.0|Renewing Argan Oil Morocco Shampoo|meh just ok bought for about 7 at target for my 12 year old s long thick slightly dry hair not great and not horrible you must use a good conditioner afterward we did not like the argan conditioner so we tried the coconut milk one not the coconut water one and did not like that either so far i am not impressed with organix 
2016-08|5.0|Renewing Argan Oil Morocco Shampoo|i bough this shampoo along with the matching conditioner when it was on offer at superdrug i wanted to get something similar to my moroccanoil repair and i heard good things about this range so i gave it a try it is a ver dense shampoo to the point that it is tricky to squeeze it out and it has a sort of floral smell so at the start i found i a bit weird you don t need a lot but to spread it all over my scalp i tend to diluite it or it is too buttery i have been very impressed with the results my hair is super shiny which i didn t expect it doesn t weigh it down at all and feels quite hydrated mainly thanks to the conditioner overall very please with the range 
2016-08|1.0|Renewing Argan Oil Morocco Shampoo|looking for my receipt so i can return this i bought it along with a cleansing cream shampoo to alternate with when i use that cleansing shampoo my hair feels sooooo good when i use this shampoo my hair is left feeling lifeless with a ton of greasy buildup at first i thought it was because i was washing with warm water that my scalp was producing more oil but seeing the reviews on here i m guessing it s just this product that s causing it 
2016-08|2.0|Renewing Argan Oil Morocco Shampoo|it doesn t clean my fine greasy hair well the next day after using it my scalp is itchy my hair is limp i love coconut water from organix but argan oil seems to be to heavy i m disappointed 
2016-08|1.0|Renewing Argan Oil Morocco Shampoo|my hair is straight with dry ends and prone to greasiness i think my hair was deydrated because when i have used hair oils it seems to get better and the ogx spray in oil was amazing i tried this as it was half price at superdrug but it leaves my hair in such a bad state not only would my hair get greasy faster than normal but it created extra tangles and static to boot it almost felt like that desperate time i washed my hair with shower gel dark times i try not to think about it with dry scratchy ends my boyfriend thinks its great but its a no go for me im afraid 
2016-08|5.0|Renewing Argan Oil Morocco Shampoo|this is a good shampoo i have been using high end brand names redken wen and i am impressed with this my hair was not stripped when i washed and the conditioner was good too my hair was soft shiny and stayed clean for a few days i know someone with great hair and the shampoo used to get that gorgeous head of hair that way was organix tea tree mint i will try that one too 
2016-08|5.0|Renewing Argan Oil Morocco Shampoo|background my hair is medium asian straight non virgin prone to breakage and tangles and has scratchy split ends i ve always wanted to try organix shampoos especially the tsubaki one and got my hands on a double sized bottle for 5 the shampoo is very thick and rich it s almost like putting a hair masque on but it s shampoo the smell is very sophisticated too the first time i rinsed it from my hair i could noticeably feel the tangles being washed out with the product lathering up normally puts my hair in knots but not after using this it was instantly soft and smooth in the shower i was hooked from that moment on my hair does require conditioner so i ve been pairing this shampoo with my all time holy grail it s a 10 miracle leave in conditioner and combing out my hair while wet during the daytime my hair is so friggin soft i can t help but twirl it in my fingers all day it s like touching real silk price wise i got it at a good deal i try not to go overboard with spending serious coin on makeup and bath goods this product lives up to its promises though so i don t mind 
2016-08|5.0|Renewing Argan Oil Morocco Shampoo|i think argan oil is amazing and i love using it i mainly got influenced from this great review on the product that i found very helpful and i think you should check it out https www mapleholistics com products hair care argan oil shampoo 
2016-08|3.0|Renewing Argan Oil Morocco Shampoo|oily roots dry ends and damaged hair this shampoo didn t do any good i use it daily and leaves my hair in a frizzy decent state was expecting much more for the price if you have my type of hair check the catwalk moisturize oatmeal and honey my hair was really soft back then when i used that stuff 
2016-08|5.0|Renewing Argan Oil Morocco Shampoo|this shampoo is organic and very healthy for your hair i was losing my hair and this product saved me great shampoo the after odor is also very refreshing i highly recommend this argan organic oil shampoo you can find it in most drug stores over the counter totally worth it time to treat yourself right also the price is not bad at all 
